Order ID,Order Date,Order Priority,Order Quantity,Unit Price,Main Sale,Shipping Cost,Including Shipping cost,Profit, Revenue,Ship Mode,Customer Name,Region,,,,,
3,13-10-2010,Low,6,38.94,233.64,35,268.64,-213.25,55.39,Regular Air,Muhammed MacIntyre,Nunavut,,,,,
6,20-02-2012,Not Specified,6,38.94,233.64,2.56,236.2,-4.64,231.56,Regular Air,Ruben Dartt,Alberta,,,,,
32,15-07-2011,High,6,38.94,233.64,5.81,239.45,1054.82,1294.27,Regular Air,Liz Pelletier,Alberta,,,,,
32,15-07-2011,High,6,38.94,233.64,89.3,322.94,-1748.56,-1425.62,Delivery Truck,Liz Pelletier,Alberta,,,,,
32,15-07-2011,High,6,38.94,233.64,5.03,238.67,-85.13,153.54,Regular Air,Liz Pelletier,Alberta,,,,,
32,15-07-2011,High,6,38.94,233.64,8.99,242.63,-128.38,114.25,Regular Air,Liz Pelletier,Saskachewan,,,,,
35,22-10-2011,Not Specified,6,38.94,233.64,2.25,235.89,60.72,296.61,Regular Air,Julie Creighton,British Columbia,,,,,
35,22-10-2011,Not Specified,6,38.94,233.64,8.99,242.63,48.99,291.62,Regular Air,Julie Creighton,British Columbia,,,,,
36,02-11-2011,Critical,6,38.94,233.64,4.2,237.84,657.48,895.32,Regular Air,Sample Company A,Alberta,,,,,
65,17-03-2011,Critical,6,38.94,233.64,1.99,235.63,1470.3,1705.93,Regular Air,Tamara Dahlen,Ontario,,,,,
66,19-01-2009,Low,6,38.94,233.64,0.7,234.34,7.57,241.91,Regular Air,Arthur Gainer,Alberta,,,,,
69,03-06-2009,Not Specified,6,38.94,233.64,3.92,237.56,511.69,749.25,Regular Air,Jonathan Doherty,Saskachewan,,,,,
69,03-06-2009,Not Specified,6,38.94,233.64,0.7,234.34,0.35,234.69,Express Air,Jonathan Doherty,Saskachewan,,,,,
70,17-12-2010,Low,6,38.94,233.64,2.58,236.22,-107,129.22,Regular Air,Helen Wasserman,Quebec,,,,,
70,17-12-2010,Low,6,38.94,233.64,5.99,239.63,2057.17,2296.8,Regular Air,Helen Wasserman,Quebec,,,,,
96,16-04-2009,High,6,38.94,233.64,8.99,242.63,1228.89,1471.52,Regular Air,Keith Dawkins,Manitoba,,,,,
97,28-01-2010,Medium,6,38.94,233.64,0.5,234.14,28.24,262.38,Regular Air,Craig Yedwab,Yukon,,,,,
129,18-11-2012,Low,6,38.94,233.64,8.19,241.83,-22.59,219.24,Regular Air,Pauline Chand,Ontario,,,,,
130,07-05-2012,High,6,38.94,233.64,13.99,247.63,-309.82,-62.19,Express Air,Roy Collins,Saskachewan,,,,,
130,07-05-2012,High,6,38.94,233.64,9.03,242.67,71.75,314.42,Regular Air,Roy Collins,Saskachewan,,,,,
130,07-05-2012,High,6,38.94,233.64,9.45,243.09,-134.31,108.78,Regular Air,Roy Collins,Saskachewan,,,,,
132,10-06-2010,Medium,6,38.94,233.64,5.03,238.67,-86.2,152.47,Regular Air,Emily Phan,Quebec,,,,,
132,10-06-2010,Medium,6,38.94,233.64,54.74,288.38,-603.8,-315.42,Delivery Truck,Emily Phan,Nova Scotia,,,,,
134,30-04-2012,Not Specified,6,38.94,233.64,35,268.64,-310.21,-41.57,Regular Air,Michael Dominguez,Ontario,,,,,
135,20-10-2011,Not Specified,6,38.94,233.64,4.62,238.26,-89.25,149.01,Regular Air,Anne Pryor,Quebec,,,,,
166,11-09-2011,High,6,38.94,233.64,8.99,242.63,-126.09,116.54,Express Air,Valerie Takahito,Manitoba,,,,,
193,07-08-2010,Critical,6,38.94,233.64,6.27,239.91,-37.04,202.87,Regular Air,Justin Hirsh,Quebec,,,,,
194,04-04-2012,Medium,6,38.94,233.64,7.98,241.62,-197.25,44.37,Regular Air,Maria Zettner,Alberta,,,,,
194,04-04-2012,Medium,6,38.94,233.64,1.92,235.56,-13.44,222.12,Regular Air,Maria Zettner,Alberta,,,,,
195,27-12-2010,Medium,6,38.94,233.64,13.89,247.53,260.87,508.4,Regular Air,Brad Thomas,Yukon,,,,,
197,06-04-2011,High,6,38.94,233.64,3.14,236.78,33.22,270,Regular Air,Penelope Sewall,Manitoba,,,,,
224,17-06-2009,Not Specified,6,38.94,233.64,5.21,238.85,-33.95,204.9,Regular Air,Bart Folk,Yukon,,,,,
224,17-06-2009,Not Specified,6,38.94,233.64,5.15,238.79,-65.43,173.36,Regular Air,Bart Folk,Yukon,,,,,
224,17-06-2009,Not Specified,6,38.94,233.64,10.68,244.32,-149.92,94.4,Regular Air,Bart Folk,Yukon,,,,,
225,24-05-2011,Critical,6,38.94,233.64,0.7,234.34,18.27,252.61,Regular Air,Karen Ferguson,Quebec,,,,,
225,24-05-2011,Critical,6,38.94,233.64,4.1,237.74,-8.97,228.77,Regular Air,Karen Ferguson,Quebec,,,,,
229,28-12-2010,Critical,6,38.94,233.64,4.98,238.62,98.44,337.06,Regular Air,Matt Abelman,Nova Scotia,,,,,
229,28-12-2010,Critical,6,38.94,233.64,12.98,246.62,3.82,250.44,Regular Air,Peter Fuller,Saskachewan,,,,,
230,26-10-2010,Critical,6,38.94,233.64,8.99,242.63,320.37,563,Regular Air,Erin Creighton,Ontario,,,,,
